25584,307.25,592.91,879
30000,262.35,508.27,756.45
35000,211.52,412.44,617.7
40000,160.68,316.61,478.95
45000,118.75,237.51,366.42
50000,110.42,220.84,349.76
55000,102.08,204.17,333.09
60000,93.75,187.51,316.42
65000,85.42,170.84,299.76
70000,77.08,154.17,283.09
75000,68.75,137.51,266.42
80000,60.42,120.84,249.76
85000,52.08,104.17,233.09
90000,43.75,87.51,216.42
95000,35.42,70.84,199.76
100000,27.08,54.17,183.09
110000,10.42,20.84,149.76
120000,0,0,116.42
130000,0,0,83.09
140000,0,0,49.76
150000,0,0,16.42
160000,0,0,0

